,id,subjects,tweets
0,2816,,RT @FakeUsername: Christian Bale Thinks The Dark Knight Rises Will be his Last Batman Movie http://FakeURL
1,2817,,RT @FakeUsername: KANYE WEST DARK TWISTED FANTASY-11/22/10
2,2818,,RT @FakeUsername: #FakeHashtag: Netanyahu told Ackerman that he didnt feel boxed in politically & that his coalition reflects the demands of...
3,2819,,"""``RT @FakeUsername: Netanyahu:'' ``We Need to expose our enemies'','' delegitimize those that delegitimize #FakeHashtag''''''"""
4,2820,,RT @FakeUsername: RT if you want @FakeUsername to follow you! (she's not following me)!: -LRB-
5,2821,,"""RT @FakeUsername: @FakeUsername actually, it is in Ontario, Canada. i live in a place with 80,000 + people, they call it a small town."""
6,2822,,``RT @FakeUsername: RT @FakeUsername: RT @FakeUsername: I Miss The Summer Days Smh \* Sighs \*''''/''
7,2823,,RT @FakeUsername: http://FakeURL - Bill Maher's Political World: The comic brings his take no prisoners approach to Caesars Atlantic...
8,2824,,RT @FakeUsername: All Billy Cox books ordered this holiday season will be autographed for you and your team. http://FakeURL
9,2825,,RT @FakeUsername: God works where there is an attitude of faith. - Joel Osteen #FakeHashtag
10,2826,,RT @FakeUsername: The future belongs to those who give the next generation reason for hope.-Pierre Teilhard De Chardin
11,2827,,"""RT @FakeUsername: Julian Fantino is so tough that if he landed on my plate in a steakhouse, I'd send him back. #FakeHashtag!"""
12,2828,,RT @FakeUsername: Dominic McGuire returned from a stress fracture in his shin to practice for the first time on Wednesday http://FakeURL...
13,2829,,RT @FakeUsername::: Charlotte Bobcats Top 10 Plays of 2008-2009 http://FakeURL
14,2830,,RT @FakeUsername: @FakeUsername ray Lewis and his pre game speeches could motivate me 2 rob a bank!
15,2831,,RT @FakeUsername Travis Porter be bring the freaks out on a Sunday. LOL? ain't nuthin but the devil
16,2832,,RT @FakeUsername: Jennifer Biel is soooooo bangin. Wtf?
17,2833,,"""RT @FakeUsername: Every little thing that we do, should be between me & you."""
18,2834,,RT @FakeUsername: About 100 commuters stuck on New Jersey Transit train due to damage to overhead wires; delays of up to an hour http://...
19,2835,,"""RT @FakeUsername: Salmonella outbreak, possibly linked to sprouts served at Jimmy Johns restaurants, has sickened 89 people in 15 states..."""
20,2836,,"""RT @FakeUsername: Son of fraudster Bernie Madoff to be cremated, no funeral service in suicide - CNBC"""
21,2837,,RT @FakeUsername: Woman accused of slashing Leonardo DiCaprio's face cuts plea deal expected to result in two-year prison sentence -- TM...
22,2838,,``RT @FakeUsername: Watch Bret Michaels''' ``What I Got'''' video now! This video is a very special tribute to all the fans for their support! h...''
23,2839,,RT @FakeUsername: Is Mr Cowell allergic to stairs? What's the deal? C'mon now!
24,2840,,"""RT @FakeUsername: Willie Nelson busted for pot possession. Related news, Cops issued an APB for the immediate apprehension of the sky for..."""
25,2841,,RT @FakeUsername: #FakeHashtag is heel belangrijk voor me.? @FakeUsername Hahaha
26,2842,,RT @FakeUsername: Yall know that artwork Kanye used on all his Good Friday covers? People are really abusing the shit out of that style.
27,2843,,"""RT @FakeUsername: it breaks your heart to see the one you love is happy with someone else, but more painful to know that the one you love"""
28,2844,,"""RT @FakeUsername: `Lennon Naked': Thirty years after John Lennon's death, filmmakers are trying make sense out of his life. In the......"""
29,2845,,RT @FakeUsername: We are giving away a #FakeHashtag pair of #FakeHashtag grips for the #FakeHashtag  #FakeHashtag or #FakeHashtag every day! Just follow & RT to enter
30,2846,,RT @FakeUsername: Reggie Bush gave up that fumble like he did the Heisman. Punk bitch...
31,2847,,RT @FakeUsername: Saying Jason Garrett was a great back up is like calling a woman a great mistress
32,2848,,RT @FakeUsername: Maxine Waters asks what the exact details of the process for loan mods - step by step she asks if regulators are aware of...
33,2849,,RT @FakeUsername: Chattanooga Rallies To Beat Kennesaw State 73-69: DeAntre Jefferson had 16 points and 10 rebounds for his second... http://b...
34,2850,,"""RT @FakeUsername: Now The Details: William, Kate Plan Wedding: Now it's all about the details: The dress, the date, the venue - an... http://b..."""
35,2851,,RT @FakeUsername: Ethics chief counsel recommends censure for NY Rep. Rangel
36,2852,,RT @FakeUsername: George W. Bush Content with His Decisions and New Low-Key Life http://FakeURL (via @FakeUsername)
37,2853,,RT @FakeUsername: Sarah Palin tells Barbara Walters she could be Obama in 2012... not saying if she is running... don't expect WH response htt...
38,2854,,"""RT @FakeUsername: Julian Fantino is so tough, if a puffin pooped on him, he'd make the sure the entire species was extinct. #FakeHashtag"""
39,2855,,"""RT @FakeUsername: Julian Fantino is so tough, he eats bullets and not Shreddies for breakfast. #FakeHashtag"""
40,2856,,"""RT @FakeUsername: Julian Fantino is so tough, if a puffin pooped on him, he'd make the sure the entire species was extinct. #FakeHashtag"""
41,2857,,"""RT @FakeUsername: Glen Davis leads the C's w/12 points, while KG has 6 points and 9 rebounds as the C's lead NJ 57-37 at the half. Ray: 11 p..."""
42,2858,,"""RT @FakeUsername: Rajon Rondo has 11 assists, Shaq has 13 points and KG has 16 as the C's lead the Raptors 58-52 at the half. C's shooting 5..."""
43,2859,,RT @FakeUsername: Rajon Rondo said today that Avery Bradley is ahead of him in terms of pick-and-roll defense because of his physicality
44,2860,,RT @FakeUsername: ``Do not look for approval except for the consciousness of doing your best.''  Andrew Carnegie #FakeHashtag
45,2861,,RT @FakeUsername: ``The best way to find yourself is to lose yourself in the service of others.'' Gandhi #FakeHashtag
46,2862,,"""RT @FakeUsername: Today was good, today was fun, tomorrow is another one ~ Dr. Seuss #FakeHashtag"""
47,2863,,RT @FakeUsername: Andre Johnson gets the #FakeHashtag award.
48,2864,,"""RT @FakeUsername: Is Mike Tomlin the coolest guy coaching in the league? Love his attitude./+1,0"""
49,2865,,"""RT @FakeUsername: @FakeUsername Hi Dr Gratton, I would like to place on record my sincere appreciation for all your support and great help...."""
50,2866,,RT @FakeUsername: Did you know: Derrick Rose leads the Eastern Conference in scoring (25.5 ppg) #FakeHashtag
51,2867,,RT @FakeUsername: @FakeUsername Give your San Francisco Santa (John Toomey) his job back!!! (PLEASE RE-TWEET)
52,2868,,RT @FakeUsername: I delete so many tweets before I send them <= = = you don't censor your bbms
53,2869,,RT @FakeUsername: Its not enough that we do our best; sometimes we have to do whats required. - Winston Churchill
54,2870,,RT @FakeUsername: Programming error at Edu Dept may have undercounted student-loan defaults: colleges may have much higher rates: http://FakeURL...
55,2871,,"""RT @FakeUsername: This was new to me: Donald Trump said if he ran for prez, he'd do it as a GOPer. Maybe he and Palin will make it a joint..."""
56,2872,,RT @FakeUsername: Indiana Jones Will Die in Next Film if Harrison Ford Gets His Way http://FakeURL
